"alpha","lambda","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
1,1e-06,0.276860110790652,0.860673375576868,0.210140973740714,0.00953675977597765,0.0107175787269467,0.00606399368153406
1,1e-05,0.276860110790652,0.860673375576868,0.210140973740714,0.00953675977597765,0.0107175787269467,0.00606399368153406
1,1e-04,0.277131367827104,0.860397884383188,0.210250160883454,0.00962130453436326,0.0107418070391264,0.00609489683485638
1,0.001,0.283761448901372,0.853663957692426,0.213646239357384,0.0103345930805382,0.0113028872279172,0.00646673529290103
1,0.01,0.312456779607052,0.823355434642669,0.233341962346684,0.010848785511747,0.0123217194244731,0.00690820587011128
1,0.1,0.389203131372529,0.753792887972035,0.284001283648871,0.0158729723663087,0.0149677877592164,0.00976982796405638
1,1,0.741062415003949,NA,0.569789867059066,0.0222734724838912,NA,0.0121541499914749
1,10,0.741062415003949,NA,0.569789867059066,0.0222734724838912,NA,0.0121541499914749
1,100,0.741062415003949,NA,0.569789867059066,0.0222734724838912,NA,0.0121541499914749
1,1000,0.741062415003949,NA,0.569789867059066,0.0222734724838912,NA,0.0121541499914749
