"mtry","splitrule","min.node.size","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
10,"variance",5,0.137436619911061,0.967659766927376,0.0964741628131415,0.00798205920703294,0.00420633551771617,0.00426321980183087
10,"variance",10,0.142362551421339,0.965360769786873,0.100404016081805,0.00819874669074618,0.00444618265870782,0.0044591467539245
20,"variance",5,0.13229558687996,0.969722876531948,0.09217116699838,0.00791105303918018,0.00402405586950679,0.00414004312435263
20,"variance",10,0.136222910185872,0.96792888787979,0.0952690558763585,0.00796033292918949,0.00419506265696223,0.00424084397901344
30,"variance",5,0.131527908441956,0.969915677172157,0.091239745312565,0.00802422547672257,0.00410075353211813,0.00409414308340831
30,"variance",10,0.134963297711055,0.968358107175669,0.0940386253905573,0.00818333341969421,0.00425658914555262,0.00421345304410606
40,"variance",5,0.131590160818503,0.969791907800276,0.0909653983755465,0.00819032983757048,0.00417219027324511,0.00411733933475557
40,"variance",10,0.134816406781039,0.968316239466447,0.0936286941901834,0.00821667934872715,0.0042739772098036,0.0041842388482801
50,"variance",5,0.131929943637457,0.969570613824163,0.0909987306678373,0.00820441548464992,0.0041938384138488,0.00407910223686645
50,"variance",10,0.135073501285638,0.968122750938213,0.0935661166557318,0.00833054267636087,0.00435263183245082,0.00421673831217729
60,"variance",5,0.132280576536082,0.969341123350114,0.091072322932181,0.00842562168828813,0.00431399717994848,0.00410184560860644
60,"variance",10,0.135508155074351,0.967846624174484,0.0936224049846035,0.00848041204296708,0.00442093907555606,0.00419141489351257
70,"variance",5,0.132697428066029,0.969105826688162,0.0911752838980831,0.00846497004293708,0.00431385443046755,0.00411775553620795
70,"variance",10,0.135743831974044,0.967685510969516,0.0936335796618662,0.00862148205455465,0.00446769499282187,0.00421785783800312
80,"variance",5,0.133020655597622,0.968913612346851,0.0913352941874773,0.008638592983857,0.00438557992582528,0.00414282191456015
80,"variance",10,0.136023780480123,0.967507503701889,0.0937110025885726,0.00872358555113267,0.00453551569621443,0.00421222857260988
90,"variance",5,0.133425333633371,0.968684261524766,0.0914729159342617,0.00859883144565321,0.00439868602966666,0.00406741108314486
90,"variance",10,0.13623801744126,0.967362472890193,0.0937826102717829,0.00872799977208203,0.00451935197309239,0.00424131077577046
100,"variance",5,0.133677208416217,0.968529964545257,0.0915513857973023,0.00871651116823547,0.00444806557139081,0.00412523641247636
100,"variance",10,0.136551953288426,0.967176168637851,0.0938641391475463,0.00878014146224411,0.00453708592208382,0.00423715101468796
