"nvmax","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
1,0.71806189760759,0.0626520622101771,0.558990987080242,0.020695081319597,0.0128924896991501,0.012798852132741
2,0.614962414694006,0.312576866587383,0.455688146869886,0.0191079556177573,0.020094155425651,0.0139481335975588
3,0.595710418429209,0.354799989452332,0.4479225022714,0.0173412862640724,0.027420008201776,0.0127389538587684
4,0.580641309003829,0.387179775604973,0.440833352853363,0.0173618764896027,0.0205327687538036,0.0123505212744556
5,0.579393045787512,0.389998387224404,0.43951986419177,0.0184783149080569,0.0201778991937948,0.0130363210264911
6,0.569366015322733,0.410728432179133,0.434012569926646,0.0176745106003636,0.0222513587725277,0.0123328868900967
7,0.557732779921257,0.434616904871887,0.426330055698613,0.0165049775723254,0.0226110706186221,0.0117770602091153
8,0.578092729381698,0.390343262524655,0.440989012362234,0.0402119542936221,0.0795845701136239,0.0280175932321157
9,0.543005255463944,0.463185602808799,0.415714662892018,0.0293876126995282,0.0459921637773047,0.0227214302247145
10,0.417701921754786,0.680556054930281,0.313550403675354,0.0490344829480158,0.0727305264790417,0.0381632076036733
11,0.441538187661661,0.630739878428702,0.334219895936726,0.0954903520967472,0.171975304061409,0.0734093367257687
12,0.402169820138962,0.698307020829798,0.303516403582558,0.0596156020383821,0.109885177752069,0.0455299575611618
13,0.434077923674964,0.64491033651065,0.328755987584874,0.0923132448078954,0.15090082049199,0.0704732353317403
14,0.376586824273625,0.740332566745778,0.284311067635122,0.0332708586065507,0.0539482094862046,0.0236836117670659
15,0.382090192049215,0.727429235448581,0.289058188459592,0.0573223517877485,0.102367390881321,0.0442840890991653
16,0.369087907617143,0.747186145696243,0.279174373895938,0.0565551174655968,0.0906572322328048,0.041355153276541
17,0.356834308989335,0.765311015183216,0.271022363463627,0.0456031650087764,0.0721574891169732,0.0354017817746225
18,0.36463870769107,0.751415571135411,0.276397578641596,0.06034569056311,0.102290328374536,0.0455716170169241
19,0.36413555651503,0.752546927651899,0.275384985628798,0.0633560914031591,0.10269843875626,0.0475454040509756
20,0.345808362162878,0.781240226945969,0.261305845939482,0.0309627371650838,0.0484355450179848,0.0242168366279737
